Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
8DA81U1;11;Épistémologie - Approche scientifique;;0;0;28;1;0;0
8DA81U2;12;Méthodologie de la recherche;;0;0;36;1;0;0
8DA81U3;13;Physiologie, Psychologie et Sociologie de l'Homme;;0;0;38;1;0;0
8DA81UA;14;Mise en œuvre d'un projet de recherche;;0;0;26;1;0;0
8DA82U1;21;Épistémologie - Approche scientifique;;0;0;28;1;0;0
8DA82U2;22;Méthodologie de la recherche;;0;0;36;1;0;0
8DA82U3;23;Physiologie, Psychologie et Sociologie de l'Homme;;0;0;38;1;0;0
8DA82UA;24;Mise en œuvre d'un projet de recherche;;0;0;26;1;0;0
