Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMS2311Z;311;Science de la mesure du mouvement humain - Niveau 3;3;20;20;2;20;3
AMS2312Z;312;Traitement des données, big data, statistiques et programmations - Niveau 3;3;20;20;2;10;3
AMS2313Z;313;Modélisation du mouvement et de la performance;2;10;10;2;10;3
AMS2321Z;321;Ingénierie, matériaux, biomatériaux, interface homme-machine, équipements adaptés à l'utilisateur - Niveau 3;3;10;5;1;10;1
AMS2322Z;322;Projet d'innovation - Niveau 2;2;0;12;1;10;1
AMS2323Z;323;Modélisation, conception et réalisation de matériels et d'outils - Niveau 3;4;5;16;1;25;1
AMS2331Z;331;Motricité et performance dans un environnement spécifique;2;10;10;1;0;1
AMS2332Z;332;Détection et gestion de la fatigue;2;12;0;1;8;1
AMS2341;341;Méthodologie de la recherche et anglais scientifique - Niveau 3;6;10;30;2;8;3
AMS2351;351;Démarche professionnelle du Sport Scientist - Niveau 2;2;0;10;1;10;1
AMS2352;352;Stratégie et management de l'innovation, projet entrepreunarial et développement durable;2;10;10;1;0;1
AMS2411;411;Mémoire de recherche;10;20;10;2;0;3
AMS2421;421;Stage professionnel;20;20;10;2;0;3
