Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
8IUESS;1;Sport Santé;;110;1;100;1;0;0
8IUEDS;2;Projet;;0;0;0;0;0;0
