Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
ALH0511;511;Analyse de l'activité cyclique;4;12;1;10;1;20;2
ALH0512;512;Optimisation de la performance de l'activité cyclique;2;8;1;8;1;6;2
ALH0521;521;Métrologie de l'activité;4;8;1;10;1;12;2
ALH0522;522;Innovation technologique;2;8;1;8;1;6;2
ALH0531;531;Ergonomie physique et ergonomie cognitive;4;24;1;14;1;0;0
ALH0532;532;Activité physique et santé au travail;2;8;1;8;1;6;2
ALH0541;541;Conduite de projet;3;0;1;24;1;0;0
ALH0542;542;Adaptation et publics spécifiques;3;12;1;8;1;9;2
ALH0551;551;Initiation à la recherche;6;12;1;22;1;0;0
ALH0611;611;Analyse de la motricité non cyclique;3;10;1;10;1;9;2
ALH0612;612;Optimisaton de la performance de l'activité non cyclique;3;8;1;6;1;9;2
ALH0621;621;Ergonomie appliquée;3;16;1;10;1;9;2
ALH0622;622;Environnement physique et contraintes;3;16;1;10;1;9;2
ALH0631;631;Stage professionnel;6;0;1;10;1;0;0
ALH0641;641;Mémoire de recherche;6;8;1;0;0;12;2
ALH0651;651;Initiation à la conception;3;8;1;6;1;3;2
ALH0652;652;Anglais;3;0;1;18;1;0;0
